Drill id,Drill Name,Category,Location,Focus,Duration (min),Description,PDF URL,YouTube Link,Goal/Reps,XP,Equipment
PUTT-GATE-001,Gate Drill Centre Strike  3 ft (L to R),Putting,Putting Green,<6ft Make %,10,"Find the Line: Locate a small breaking Left to Right 3-foot putt on the green to ensure zero break.
Anchor the Putter: Place your putter head behind the ball as if you are ready to stroke it.
Set the Gate: Insert two tees into the ground—one just outside the toe and one just outside the heel of the putter.
Adjust Clearance: Start with about 0.5cm of space on either side of the putter head.
The Test: Ensure the putter can pass through the ""gate"" without clicking the tees; as you improve, narrow the gap to increase the difficulty.",,,18 in a row,10,
PUTT-GATE-002,Gate Drill Centre Strike  3 ft Straight,Putting,Putting Green,<6ft Make %,10,"Find the Line: Locate a dead-flat 3-foot putt on the green to ensure zero break.
Anchor the Putter: Place your putter head behind the ball as if you are ready to stroke it.
Set the Gate: Insert two tees into the ground—one just outside the toe and one just outside the heel of the putter.
Adjust Clearance: Start with about 0.5cm of space on either side of the putter head.
The Test: Ensure the putter can pass through the ""gate"" without clicking the tees; as you improve, narrow the gap to increase the difficulty.",,,18 in a row,10,
PUTT-GATE-003,Gate Drill Centre Strike  3 ft (R to L),Putting,Putting Green,<6ft Make %,10,"Find the Line: Locate a small breaking Right to Left 3-foot putt on the green to ensure zero break.
Anchor the Putter: Place your putter head behind the ball as if you are ready to stroke it.
Set the Gate: Insert two tees into the ground—one just outside the toe and one just outside the heel of the putter.
Adjust Clearance: Start with about 0.5cm of space on either side of the putter head.
The Test: Ensure the putter can pass through the ""gate"" without clicking the tees; as you improve, narrow the gap to increase the difficulty.",,,18 in a row,10,
PUTT-GATE-004,Gate Drill Start Line 3 ft (L to R),Putting,Putting Green,<6ft Make %,10,"Find a 3ft small breaking Left to Right Putt. Set two tees 3 inches in front of the ball, just wider than the ball’s diameter. Goal: Roll the ball through the ""start gate"" without touching the tees. Focus on a square face at impact to ensure the ball starts on the intended line.",,,18 in a row ,10,
PUTT-GATE-005,Gate Drill Start Line 3 ft Straight,Putting,Putting Green,<6ft Make %,10,"Find a 3ft straight putt. Set two tees 3 inches in front of the ball, just wider than the ball’s diameter. Goal: Roll the ball through the ""start gate"" without touching the tees. Focus on a square face at impact to ensure the ball starts on the intended line.",,,18 in a row ,10,
PUTT-GATE-006,Gate Drill Start Line 3 ft (R to L),Putting,Putting Green,<6ft Make %,10,"Find a 3ft  small breaking Right to Left Putt. Set two tees 3 inches in front of the ball, just wider than the ball’s diameter. Goal: Roll the ball through the ""start gate"" without touching the tees. Focus on a square face at impact to ensure the ball starts on the intended line.",,,18 in a row ,10,
CHIP-RHON-007,Right Hand Only,Chipping,Chipping Green ,Up & Down %,10,Chipping with your right hand only to build awareness and feels around the green. Feeling the body working with the right hand together,,,2 chip ins,10,
CHIP-LHON-008,Left Hand Only,Chipping,Chipping Green ,Up & Down %,10,Chipping with your left hand only to build awareness and feels around the green. Feeling the body working with the right hand together,,,2 chip ins,10,
CHIP-CROS-009,Cross Handed,Chipping,Chipping Green ,Up & Down %,10,Cross handed chips to reduce the right hands input in the chipping motion. Great to build skills.,,,2 Chip ins,10,
CHIP-TREX-010,T-rex Drill,Chipping,Chipping Green ,Up & Down %,10,Place your arms as close to the seams on the shirt to try to feel like a t-rex. Using your pivot only to hit the chip shot.,,,10 chips hit well,10,
CHIP-TOWE-011,Towel Under the arms,Chipping,Chipping Green ,Scambling % (<6ft),10,Place a towel under your arm pit on both arms. This will help build the motion as one and build flow into the chipping motion.,,,5 inside of 6 feet in a row,10,
CHIP-5MET-012,5 metre Chip,Chipping,Chipping Green ,Scambling % (<6ft),10,Place a tee or towel 5 metres. Practice landing it on the spot taking in notes of what the length and feel is to generate that distance.,,,5 inside of 6 feet in a row,10,
CHIP-10ME-013,10 metre Chip,Chipping,Chipping Green ,Scambling % (<6ft),10,Place a tee or towel 10 metres. Practice landing it on the spot taking in notes of what the length and feel is to generate that distance.,,,5 inside of 6 feet in a row,10,
CHIP-15ME-014,15 metre Chip,Chipping,Chipping Green ,Scambling % (<6ft),10,Place a tee or towel 15 metres. Practice landing it on the spot taking in notes of what the length and feel is to generate that distance.,,,5 inside of 6 feet in a row,10,
CHIP-20ME-015,20 metre Chip,Chipping,Chipping Green ,Scambling % (<6ft),10,Place a tee or towel 20 metres. Practice landing it on the spot taking in notes of what the length and feel is to generate that distance.,,,5 inside of 6 feet in a row,10,
CHIP-25ME-016,25 metre Chip,Chipping,Chipping Green ,Scambling % (<6ft),10,Place a tee or towel 25 metres. Practice landing it on the spot taking in notes of what the length and feel is to generate that distance.,,,5 inside of 6 feet in a row,10,
CHIP-30ME-017,30 metre Chip,Chipping,Chipping Green ,Scambling % (<6ft),10,Place a tee or towel 30 metres. Practice landing it on the spot taking in notes of what the length and feel is to generate that distance.,,,5 inside of 6 feet in a row,10,
CHIP-FLOP-018,Flop Shot,Chipping,Chipping Green ,Up & Down %,10,Practicing your flop shot technique and checking in on setup and fundementals.,,,Bulk practice,10,
CHIP-PUTT-019,Putting Chip,Chipping,Chipping Green ,Up & Down %,10,Practicing your Putting chip technique and checking in on setup and fundementals.,,,Bulk practice,10,
CHIP-OBCH-020,Over Bunker Chip,Chipping,Chipping Green ,Up & Down %,10,Chipping over a bunker to a pin on the other side. This is to build comfort chipping over something to gain confidence. ,,,Bulk practice,10,
CHIP-BANR-021,Bump and Runs,Chipping,Chipping Green ,Up & Down %,10,Practicing your Bump and Run technique and checking in on setup and fundementals. Designate a club for this so you can get predictable results. ,,,Bulk practice,10,
CHIP-UPDE-022,Up and down with every Club,Chipping,Chipping Green ,Up & Down %,10,A 10m chip at a medium difficulty. Start with your highest loft club with one ball chipping and putting out. To go to the next level once you get up and down. Work your way up until driver. ,,,Up and down to the next level. ,10,
CHIP-P218-023,Par 2 18 holes scoring,Chipping,Chipping Green ,Up & Down %,10,Play 18 short par2 holes up until 30m. Score is up and down = a par. Chip in is Birdie. Keep your score and try and beat it after you finish 18 holes,,,Score,10,
CHIP-P29H-024,Par 2 9 holes scoring,Chipping,Chipping Green ,Up & Down %,10,Play 9 short par2 holes up until 30m. Score is up and down = a par. Chip in is Birdie. Keep your score and try and beat it after you finish 18 holes,,,Score,10,
CHIP-BAFC-025,Ball First contact,Chipping,Chipping Green ,Up & Down %,10,Practicing the mechanics to hit ball first. This will help you hit all lies.,,,,10,
CHIP-123B-026,"One bounce, two bounce, three bounce",Chipping,Chipping Green ,Scambling % (<6ft),10,The game is to land the ball off the green where it bounces once then rolls on the green. Then 2 and 3 times. This will help you control distance and trajectory.,,,,10,
DRIV-ALTH-027,Alternate tee height,Driving,Driving Range,FIR %,10,Hitting drives of varying tee heights. From off the ground to very high. You will obtain skills in hitting the centre.,,,,10,
DRIV-SIFW-028,Simulated Fairway,Driving,Driving Range,FIR %,10,Create a fairway between targets. See how many times in a row you can hit it. Remember the percentage for when you are playing so you can make decisions on club selection. ,,,,10,
DRIV-LBFL-029,Low Ball,Driving,Driving Range,FIR %,10,Practice your low ball tee shot for windy days or getting the ball on the ground earlier to hit the fariway.,,,,10,
DRIV-ALTB-030,Aternate Ball Flight,Driving,Driving Range,FIR %,10,Hitting fades and draws back to back.,,,,10,
DRIV-80SW-031,80 Percent Swings,Driving,Driving Range,FIR %,10,Fairway finders at 80 percent speed. Practicing precision over distance.,,,,10,
DRIV-SPED-032,Speed Training,Driving,Driving Range,FIR %,10,Not caring where the ball goes. Hitting it as hard as you can.,,,,10,
DRIV-HAPF-033,Hitting all parts of the face,Driving,Driving Range,FIR %,10,Intentionally hitting different parts of the face. This gives you awareness of the club and how to hit the centre or calibrate when on the golf course.,,,,10,
DRIV-MOCS-034,Missing on the correct side,Driving,Driving Range,FIR %,10,Designating a side that is an acceptable miss. Training a one way miss on purpose. ,,,,10,
DRIV-GDDR-035,Grip down driver,Driving,Driving Range,FIR %,10,Gripping down different lengths on the driver to see how it effects ball flight and strike. ,,,,10,
DRIV-9BFD-036,9 Ball flight Driver,Driving,Driving Range,FIR %,10,"Hitting all 9 ball flights with driver. Straight,draw,fade,high,low,medium combined into the 9.",,,,10,
DRIV-SWRE-037,Swing review,Driving,Driving Range,FIR %,10,Use your video on your phone in the right positions and check your swing to see if its where you and your coach want it. ,,,,10,
DRIV-HBFL-038,High Ball Flight,Driving,Driving Range,FIR %,10,Practicing the high ball flight for maxium carry and down wind shots. ,,,,10,
